year,name
1998,"0000_98_01xx_Bharatpur_Pholt_Warbler, Hume's Leaf (Rajasthan)(CD26-13)_98+99_4.Table.mssplit.selections.txt"
1998,0000_98_04xx_Himachal_PS_ANCue 03 Phylloscopus humei GHNP Himachal 1998 April.Table.mssplit-call2.selections.txt
1998,0000_98_04xx_Himachal_PS_ANCue 03 Phylloscopus humei GHNP Himachal 1998 April.Table.mssplit-call3.selections.txt
1998,0000_98_04xx_Himachal_PS_ANCue 15 Phylloscopus humei GHNP Himchal 1998 April.Table.mssplit-call2.selections.txt
1998,0000_98_0500x_Phylloscopus humei L PA98_05_55-56.Table.mssplit-call2.selections.txt
1998,0000_98_0600x_Phylloscopus humei L PA98_06_12.Table.mssplit-call1.selections.txt
1999,0000_99_04xx_Himachal_PS_AN4Cue 17 Phylloscopus humei GHNP Himachal 1999 April_98+99_10.Table.mssplit-call3.selections.txt
1999,0000_99_04xx_Himachal_PS_AN6Cue 20 phylloscopus humei+Tarsiger rufilatus Soja-Jalori Himachal 1999 April_98+99_11.Table.mssplit-call3.selections.txt
1999,0000_99_0425_76p27-28 Phylloscopus humei Jalori Pass Himachal_98+99_12.Table.mssplit-call1.selections.txt
1990,0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8.Table.mssplit-call1.selections.txt
1990,0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8.Table.mssplit-call1.selections.txt
2002,0201xx_Bharatpur_Hannu_Phyhum3D202_01+02_7.Table.mssplit-call2.selections.txt
2002,0201xx_Bharatpur_Hannu_PhyhumD202_01+02_8.Table.mssplit-call1.selections.txt
2002,0202xx_Bharatpur_Hannu_Phyhum2D202_01+02_9.Table.mssplit-call3.selections.txt
2002,0203xx_Bharatpur_Schweizer_XC347754 - Hume's Leaf Warbler - Phylloscopus humei humei_01+02_10.Table.mssplit.selections.txt
2000,2000_0326_58p25 Dendrocitta vagabunda near WII Dehradun Uttarakhand P-humei background_4.Table.mssplit.selections.txt
2000,2000_0327_58p32 Ocyceros birostris near WII Dehradun Uttarakhand P-humei background_3.Table.mssplit.selections.txt
2000,2000_0408_24p70 Phylloscopus humei FRI Dehradun Uttarakhand_1.Table.mssplit-call1.selections.txt
2000,2000_0408_24p70 Phylloscopus humei FRI Dehradun Uttarakhand_1.Table.mssplit-call2.selections.txt
2001,2001_02xx_Bharatpur_Hannu_Phyhum2D401_01+02_1.Table.mssplit.selections.txt
2001,2001_02xx_Bharatpur_Hannu_PhyhumD301_01+02_2.Table.mssplit.selections.txt
2001,2001_02xx_Bharatpur_Hannu_PhyhumD401_01+02_3.Table.mssplit-call1.selections.txt
2001,2001_02xx_Corbett_Hannu_Phyhum2D101_01+02_5.Table.mssplit-call2.selections.txt
2001,2001_02xx_Corbett_Hannu_PhyhumD101_01+02_6.Table.mssplit-call2.selections.txt
2004,040926_24MD-2.10B7 Phylloscopus humei Bhopal Madhya Pradesh_04+05_1.Table.mssplit-call2.selections.txt
2004,041009_Datcut29 Phylloscopus humie IIFM Bhopal Madhya Pradesh.Table.mssplit-call3.selections.txt
2004,041022_102D19 Phylloscopus humei IIFM Bhopal Madhya Pradseh_04+05_2.Table.mssplit- call1.selections.txt
2004,041224_105D95-96 Phylloscopus humei Bori WLS Madhya Pradesh_04+05_4.Table.mssplit-call1.selections.txt
2004,041228_104D90 Phylloscopus humei trochiloides Bori WLS Madhya Pradesh_04+05_6.Table.mssplit-call1.selections.txt
2005,050916_D129aCue 14 Sitta leucopsis near Manali Himachal P-humei background_04+05_8.Table.mssplit-call2.selections.txt
2005,050916_D129aCue 23 Phylloscopus spp near Manali Himachal P-humei background_04+05_9.Table.mssplit-call1.selections.txt
2005,051031_D130bCue 12 Phylloscopus humei KGNP Bharatpur Rajasthan_04+05_10.Table.mssplit-call1.selections.txt
2006,060107_D133Cue 07 Phylloscopus humei U Kathotia Area near Bhopal Madhya Pradesh_06+07_6.Table.mssplit-call1.selections.txt
2006,060113_D134Cue 04 Cyornis tickelliae Sunderdev area  Khandwa Madhya Pradesh P-humei background_06+07_4.Table.mssplit-call1.selections.txt
2006,060500x_Kazakhastan_DavidFarrow_XC19732 - Hume's Leaf Warbler - Phylloscopus humei_06+07_7.Table.mssplit-call2.selections.txt
2007,070122_D169Cue 52 Phylloscopus U Ghana_Bharatpur Rajasthan_06+07_11.Table.mssplit-call2.selections.txt
2007,070204_D170Cue 83 Phylloscopus humei Badkal_Faridabad Haryana_06+07_10.Table.mssplit-call2.selections.txt
2007,070414_D175Cue 29 Phylloscopus humei FRI_Dehradun Uttarakhand_06+07_9.Table.mssplit-call1.selections.txt
2008,080400x_Sweden_Patrik Aberg_XC26650 - Hume's Leaf Warbler - Phylloscopus humei_1.Table.mssplit-call1.selections.txt
2008,080708_XC35295 - Phylloscopus humei Sander Bot-08/07/08 Kazakhstan.Table.mssplit.selections.txt
2008,081105_D191Cue 37 Phylloscopus spp Sariska Rajasthan_9.Table.mssplit-call1.selections.txt
2008,081106_D191Cue 45 Phylloscopus spp Sariska Rajasthan_10.Table.mssplit-call2.selections.txt
2008,081200x_Netherlands_SanderBot_XC29026 - Hume's Leaf Warbler - Phylloscopus humei_8.Table.mssplit.selections.txt
2009,090125_D195Cue 09 Nisaetus cirrhatus Rajaji NP Uttarakhand P-humei background_6.Table.mssplit.selections.txt
2009,090402_D195Cue 33 Phylloscopus humei+tytleri Dhanaulti Uttarakhand_9.Table.mssplit-call1.selections.txt
2009,090402_D195Cue 33 Phylloscopus humei+tytleri Dhanaulti Uttarakhand_9.Table.mssplit-call2.selections.txt
2009,090403_D195Cue 45 Phylloscopus occipitalis Dhanaulti Uttarakhand P-humei background_10.Table.mssplit-call1.selections.txt
2009,090403_D195Cue 45 Phylloscopus occipitalis Dhanaulti Uttarakhand P-humei background_10.Table.mssplit-call2.selections.txt
2009,"091221_AV2817_Phylloscopus+humei_IN_1_2-16_C Sattal, Uttarakhand PCRasmussen.Table.mssplit.selections.txt"
2010,100215_07 Phylloscopus humei U SOOR SAROVAR AGRA UP_4.Table.mssplit-call2.selections.txt
2010,100215_07 Phylloscopus humei U SOOR SAROVAR AGRA UP_4.Table.mssplit-call4.selections.txt
2010,100215_10 U Phylloscopus humei SOOR SAROVAR AGRA UP_5.Table.mssplit-call2.selections.txt
2010,100306_02 Pomatorhinus schisticeps FRI DEHRADUN UTTARAKHAND P-humei background_6.Table.mssplit.selections.txt
2010,101218_10 Phylloscopus humie U Sariska Rajasthan_8.Table.mssplit-call1.selections.txt
2011,110200x_Harike_AnteStrand_XC105580 - Hume's Leaf Warbler - Phylloscopus humei_1.Table.mssplit-call3.selections.txt
2011,110313_06 U Phylloscopus humei Dehradun Uttarakhand_check background also_7.Table.mssplit-call1.selections.txt
2011,110500x_Kazakhistan_ArendWasinck_XC150181 - Hume's Leaf Warbler - Phylloscopus humei humei_4.Table.mssplit-call1.selections.txt
2011,110500x_Kazakhistan_Patrick Franke_XC120496 - Hume's Leaf Warbler - Phylloscopus humei humei_5.Table.mssplit-call1.selections.txt
2012,120200x_Bandhavgarh_Hannu_Phylloscopus humei_120211_01_1.Table.mssplit-call2.selections 2.txt
2012,120200x_Bandhavgarh_Hannu_Phylloscopus humei_120211_01_1.Table.mssplit-call2.selections.txt
2012,"excursion outlier 121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7241)_3.Table.mssplit-call1.selections 2.txt"
2012,"excursion outlier 121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7241)_3.Table.mssplit-call1.selections.txt"
2012,"121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7244)_4 down sampled.Table.mssplit-call1.selections 2.txt"
2012,"121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7244)_4 down sampled.Table.mssplit-call1.selections.txt"
2012,"121000x_Xinjiang_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7232)_5 downsampled.Table.mssplit-call1.selections 2.txt"
2012,"121000x_Xinjiang_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7232)_5 downsampled.Table.mssplit-call1.selections.txt"
2012,121100x_Mathew_Corbett_00x_P. humei_022A-WA1301000x00xX-0056M0_6.Table.mssplit-call1.selections.txt
2012,121100x_Mathew_Corbett_00x_P. humei_022A-WA1301000x00xX-0056M0_6.Table.mssplit-call2.selections.txt
2012,121100x_Mathew_Corbett_00x_P. humei_022A-WA1301000x00xX-0056M0_6.Table.mssplit-call3.selections.txt
2012,121100x_Sultanpur_MikeNelson_XC116652 - Hume's Leaf Warbler - Phylloscopus humei humei_8.Table.mssplit-call1.selections.txt
2013,130131_Melghat_FLambert_XC149330 - Hume's Leaf Warbler - Phylloscopus humei humei_6.Table.mssplit-call2.selections.txt
2013,130200x_Melghat_FLambert_XC128094 - Hume's Leaf Warbler - Phylloscopus humei humei_2.Table.mssplit.selections.txt
2013,130200x_Melghat_FLambert_XC128095 - Hume's Leaf Warbler - Phylloscopus humei humei_3.Table.mssplit.selections.txt
2013,130200x_ThaneMaharashtra_S-More_XC165051 - Hume's Leaf Warbler - Phylloscopus humei_5.Table.mssplit.selections.txt
2013,130524_XC162534 - Phylloscopus humei humei Patrick Franke 24/05/13 Mongolia.Table.mssplit-call1.selections.txt
2013,130629_XC145184 - Phylloscopus humei humei Thijs Fijen 29/06/13 Kazakhstan.Table.mssplit.selections.txt
2014,140310_35 Phylloscopus humei Bhindawas Haryana_10.Table.mssplit-call1.selections.txt
2014,140311_15 Phylloscopus humei Bhindawas Haryana_11.Table.mssplit-call1.selections.txt
2014,140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4a.Table.mssplit-call1.selections.txt
2014,140514_XC180338 - Phylloscopus humei humei Arend Wassink 14/05/14 Kazakhstan.Table.mssplit.selections.txt
2014,140900x_Ladakh_Hannu_Phylloscopus humei_140921_02_7.Table.mssplit-call1.selections.txt
2014,140900x_Ladakh_Hannu_Phylloscopus humei_140922_01_9.Table.mssplit-call1.selections.txt
2015,150200x_Bandhavgarh_Hannu_Phylloscopus humei_150206_01_1.Table.mssplit-call1.selections.txt
2015,"151100x_Haryana_Pholt_Warbler, Hume's Leaf (Haryana)(A16457)_3.Table.mssplit-call1.selections.txt"
2015,151117_07 Phylloscopus humei WII Dehradun Uttarakhand_6.Table.mssplit.selections.txt
2015,151200x_Kanha_Phylloscopus humei Call Kanha 11Dec2015 Ind2015 LS110012_4.Table.mssplit-call1.selections.txt
2015,151205_00 Phylloscopus humei Bah Chambal UP_7.Table.mssplit-call1.selections.txt
2015,151205_01 Phylloscopus humei Bah Chambal UP_8.Table.mssplit-call1.selections.txt
2015,151211_19 Phylloscopus humei Mukki Kanha Madhya Pradesh_9.Table.mssplit-call1.selections.txt
2015,151211_19 Phylloscopus humei Mukki Kanha Madhya Pradesh_9.Table.mssplit-call2.selections.txt
2015,151211_27 Phylloscopus humei Mukki Kanha Madhya Pradesh_10.Table.mssplit-call1.selections.txt
2016,160116_03 Phylloscopus humei Harike WLS Punjab_16+17_2.Table.mssplit-call1.selections.txt
2016,160116_22 Phylloscopus humei Harike WLS Punjab_16+17_3.Table.mssplit-call1.selections.txt
2016,160420_338896901ML Phylloscopus humei.Table.mssplit-call1.selections.txt
2016,160707_16 Phylloscopus humei._16+17_4WAV.Table.mssplit-call2.selections.txt
2016,160707_19 Phylloscopus humei_16+17_5.Table.mssplit-call2.selections.txt
2016,160708_08 Phylloscopus humei song.Table.mssplit.selections.txt
2016,161114_04 Phylloscopus humei_16+17_6.Table.mssplit.selections.txt
2016,161114_05 Phylloscopus humei+Corvus macrorhynchos_16+17_7.Table.mssplit.selections.txt
2017,170531_XC414415 - Phylloscopus humei humei Frank Lambert 31/05/17 Mongolia.Table.mssplit.selections.txt
2017,170600x_Kazakhistan_OscarCampbell_XC378883 - Hume's Leaf Warbler - Phylloscopus humei_16+17_9.Table.mssplit-call1.selections.txt
2017,171125_XC399040 - Phylloscopus humei Ehsan Talebi 25/11/17 Iran.Table.mssplit-call1.selections.txt
2018,"180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1072_4.Table.mssplit.selections.txt"
