,songmatch:used to bring in recording information,location,Recording.ID.Number,Date,Playback,Latitude,Longitude,Time,Initial.distance.m.,Year,Song.ID,Response.within.1.minute,Aggressive.Calls,Fly.overs,Direct.approach.towards.the.speaker,Height.at.the.speaker.is.kept.from.the.ground.,Vertical.distance.of.approach,Horizontal.distance.of.approach,Number.of.calls.in.the.first.minute,Number.of.calls.in.the.second,Number.of.calls.in.the.third.minute,Number.of.calls.in.the.fourth.minute,Number.of.calls.in.the.fifth.minute,Total.score.out.of.three,Remarks,SN,Number.of.Calls,duration...seconds.,extranuous.sounds
60,140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,Dehradun,111,1/13/25,28,30.284484,77.971911,12:04,25,2014,43_140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,no,0,0,0,4,NA,NA,0,1,0,0,0,0,"No response from the bird, called once on the 2nd minute",43,6,8,0
61,140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,Bharatpur,111,12/16/24,8,27.158369,77.521232,11:08am,12,2014,140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,No,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,May be a female?,43,6,8,0
62,140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,Bharatpur,111,12/19/24,21,27.186323,77.499743,12:06pm,15,2014,43_140310_35 Phylloscopus humei Bhindawas Haryana_10 EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,43,6,8,0
63,140311_15 Phylloscopus humei Bhindawas Haryana_11 EDITED,Bharatpur,112,12/15/24,1,27.197946,77.509824,12:35pm,15,2014,140311_15 Phylloscopus humei Bhindawas Haryana_11 EDITED,No,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,,44,19,22,0
64,140311_15 Phylloscopus humei Bhindawas Haryana_11 EDITED,Bharatpur,112,12/19/24,19,27.180916,77.516974,11:27am,20,2014,44_140311_15 Phylloscopus humei Bhindawas Haryana_11 EDITED,No,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,Aggressive response observed,44,19,22,0
65,140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED,Bharatpur,113,12/19/24,20,27.185986,77.499434,11:41am,15,2014,45_140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED,Yes,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Very aggressive response,45,9,14,0
66,140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED,Bharatpur,113,12/16/24,6,27.191143,77.508963,1:54pm,10,2014,140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,45,9,14,0
67,140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED,Bharatpur,113,12/17/24,12,27.153909,77.520738,2:40pm,9,2014,140500x_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - Phylloscopus humei_4 EDITED,No,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,,45,9,14,0
68,"180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED",Dehradun,138,2/5/25,40,30.286955,77.973526,9:52,15,2018,"47_180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED",no,0,0,0,3,5,0,0,0,0,0,9,0,,47,17,24,0
69,"180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED",Dehradun,138,2/6/25,37,30.286955,77.973526,9:47,7,2018,"47_180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED",Yes,1,0,1,4,3,0,0,0,0,12,14,1,,47,17,24,0
70,180100x_Harike_Hannu_Phylloscopus humei 180131_05_16 EDITED,Bharatpur,140,12/16/24,6,27.191143,77.508963,2:01pm,10,2018,180100x_Harike_Hannu_Phylloscopus humei 180131_05_16 EDITED,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,48,30,43,0
71,190205_347457461ML Phylloscopus humei EDITED,Dehradun,146,3/11/25,27,30.402034,78.0954,10:06,10,2019,190205_347457461ML Phylloscopus humei.Table.3.selections_8splits.txt,no,0,0,0,3,NA,NA,0,0,0,0,0,0,,49,32,43,0
72,2000_0408_24p70 Phylloscopus humei FRI Dehradun Uttarakhand_1 EDITED,Dehradun,56,1/22/25,31,30.327744,78.136993,11:57,10,2000,8_2000_0408_24p70 Phylloscopus humei FRI Dehradun Uttarakhand_1 EDITED,no,0,0,0,4,NA,NA,0,0,0,0,0,0,,23,12,18,0
73,201127_283225171ML Phylloscopus humei EDITED,Dehradun,165,2/2/25,26,30.358179,77.973752,12:33,15,2020,201127_283225171ML Phylloscopus humei.Table.3.selections_8splits.txt,no,1,0,0,5,NA,NA,0,19,0,11,0,1,,52,11,14,0
74,201127_283225171ML Phylloscopus humei EDITED,Dehradun,165,2/2/25,38,30.358179,77.973752,12:33,20,2020,52_201127_283225171ML Phylloscopus humei EDITED,no,1,0,0,6,NA,NA,1,19,13,0,2,1,,52,11,14,0
75,201223_367754341ML Phylloscopus humei EDITED,Dehradun,167,2/2/25,39,30.348973,77.954699,13:13,12,2020,53_201223_367754341ML Phylloscopus humei EDITED,Yes,1,1,0,4,NA,6,0,0,0,10,0,1,,53,6,6,0
76,210107_295636581ML Phylloscopus humei EDITED,Dehradun,169,1/26/25,33,30.34964,77.956877,15:02,12,2021,54_210107_295636581ML Phylloscopus humei EDITED,Yes,1,1,1,3,2,5,44,42,45,41,0,3,,54,6,6,0
77,210107_295636581ML Phylloscopus humei EDITED,Dehradun,169,2/9/25,36,30.285225,77.973687,9:52,13,2021,54_210107_295636581ML Phylloscopus humei EDITED,Yes,1,1,0,3,NA,7,23,29,0,8,2,2,,54,6,6,0
78,210221_MIXPRE-3602 Phylloscopus humei WII Dehradun EDITED,Dehradun,173,3/10/25,41,30.402034,78.0954,10:19,15,2021,56_210221_MIXPRE-3602 Phylloscopus humei WII Dehradun EDITED,no,0,0,0,3,NA,0,0,0,0,0,0,0,,56,31,50,0
79,210305_MIXPRE-3624 Phylloscopus humei EDITED,Dehradun,174,2/9/25,35,30.28592,77.97486,10:58,8,2021,58_210305_MIXPRE-3624 Phylloscopus humei,Yes,0,0,0,2,10,0,11,19,0,0,0,2,,57,8,17,0
80,210305_MIXPRE-3624 Phylloscopus humei EDITED,Dehradun,174,1/26/25,33,30.34964,77.956877,15:08,12,2021,58_210305_MIXPRE-3624 Phylloscopus humei,Yes,1,1,1,3,2,0,15,18,6,0,0,3,,57,8,17,0
81,220111_MX661 Phylloscopus humei WII Dehradun EDITED,Dehradun,178,2/23/25,34,30.376917,77.932272,2:34,22,2022,60_220111_MX661 Phylloscopus humei WII Dehradun EDITED,Yes,1,1,1,4,3,1,26,28,0,18,0,3,Came to the tree in which speaker was kept,59,12,18,0
82,220616_MixPre-209 Phylloscopus humei EDITED,Dehradun,183,2/2/25,38,30.358179,77.973752,12:26,30,2022,220616_MixPre-209 Phylloscopus humei EDITED,no,0,0,0,5,NA,NA,0,0,0,0,0,0,,64,6,10,0
