SN,male,Recording ID,Year,Location,Time,Date,Call type,Response,
2b,23,110200x_Harike_AnteStrand_XC105580 - Hume's Leaf Warbler - Phylloscopus humei_1 EDITED.wav,2011,WII Nature Trail,8.22am,24-11-2024,e,0,strange response for older but not for newer
3a,24,0000_83_06xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0_2 EDITED.wav,1983,WII Nature Trail,8.31am,24-11-2024,a,0,
3b,24,"180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED.wav",2018,WII Nature Trail,8.40am,24-11-2024,control,1,Poor Response
4a,25,0000_91_0000_x_Phylloscopus humei Bharatpur K91 2_489-491 EDITED.wav,1991,WII Faculty Residences,9.18am,24-11-2024,b,0,
4b,25,180100x_Harike_Hannu_Phylloscopus humei 180131_05_16 EDITED.wav,2018,WII Faculty Residences,9.31am,24-11-2024,control,0,
5a,26,0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3 EDITED.wav,1986,WII Faculty Residences,9.55am,24-11-2024,a,0,
5b,26,190205_347457461ML Phylloscopus humei EDITED.wav,2019,WII Faculty Residences,10.03am,24-11-2024,control,1,Moderate Response
6a,27,0000_91_0300x_Phylloscopus humei L PA_91_03_653-EDITED.wav,1991,WII Staff Colony,8.19am,25-11-2024,b,1,Moderate Response
6b,27,210221_MIXPRE-3602 Phylloscopus humei WII Dehradun EDITED.wav,2021,WII Staff Colony,8.26am,25-11-2024,control,1,strong
7a,28,0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED.wav,1989,WII Staff Colony,8.37am,25-11-2024,a,0,
7b,28,190219_284362ML Phylloscopus humei EDITED.wav,2019,WII Staff Colony,8.44am,25-11-2024,control,1,
8a,29,0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230 EDITED.wav,1992,WII Staff Colony,8.54am,25-11-2024,b,0,
8b,29,190219_284362ML Phylloscopus humei EDITED.wav,2019,WII Staff Colony,9.00am,25-11-2024,control,1,strong
9a,30,0000_93_01xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0105M0_2 EDITED.wav,1993,WII Nature Trail,8.39am,26-11-2024,b,0,
9b,30,220619_XC738539 - Hume's Leaf Warbler - Phylloscopus humei humei EDITED.wav,2022,WII Nature Trail,8.47am,26-11-2025,control,0,
10a,31,0000_93_01xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0105M0_2 EDITED.wav,1993,WII Nature Trail,9.02am,26-11-2026,b,0,
10b,31,210114_MIXPRE-3511 Phylloscopus humei EDITED.wav,2021,WII Nature Trail,9.08am,26-11-2027,control,1,Moderate Response
