sno,Source.Name,P1,P2,P3,P4,C1,C2,C3,C4,DeltaTimeS12,Year,YearF,Year5,Deacades,Twos,Threes,4 Years
32,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0107M0_4.Table.2.selections_4splits.txt,3750,4312.5,5062.5,6187.5,3750,4312.5,4875,6000,0.0482,1993,1993,F3,D2,Tw06,T04,IV03
33,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0107M0_4.Table.5.selections_4splits.txt,3750,4312.5,4687.5,5062.5,3750,4312.5,4687.5,4312.5,0.0586,1993,1993,F3,D2,Tw06,T04,IV03
34,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0108M0_5.Table.2.selections_4splits.txt,5812.5,4312.5,4875,6375,6000,4125,4687.5,6187.5,0.0454,1993,1993,F3,D2,Tw06,T04,IV03
35,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0108M0_5.Table.5.selections_4splits.txt,6000,4312.5,4687.5,6000,6000,4125,4875,5625,0.046,1993,1993,F3,D2,Tw06,T04,IV03
36,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0109M0_6.Table.2.selections_4splits.txt,3187.5,3750,4875,4312.5,3187.5,3750,4500,4312.5,0.0575,1993,1993,F3,D2,Tw06,T04,IV03
37,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0110M0_7.Table.2.selections_4splits.txt,3375,3937.5,4687.5,3937.5,3375,4125,4687.5,3937.5,0.0521,1993,1993,F3,D2,Tw06,T04,IV03
38,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0111M0_8.Table.2.selections_4splits.txt,3375,4312.5,4687.5,3937.5,3375,4125,4687.5,3937.5,0.0541,1993,1993,F3,D2,Tw06,T04,IV03
39,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0112M0_9.Table.2.selections_4splits.txt,3562.5,4125,4687.5,3937.5,3562.5,4125,4687.5,3562.5,0.0548,1993,1993,F3,D2,Tw06,T04,IV03
40,00009309xx_Kazakistan_Pholt_P. humei_022A-WS4370XXXXXX-0115M0_16.Table.2.selections_4splits.txt,5812.5,4125,5062.5,5437.5,3562.5,3937.5,4875,5062.5,0.045,1993,1993,F3,D2,Tw06,T04,IV03
41,00009309xx_Kazakistan_Pholt_P. humei_022A-WS4370XXXXXX-0116M0_17.Table.2.selections_4splits.txt,3562.5,4125,4875,4875,3562.5,3750,4875,4875,0.0436,1993,1993,F3,D2,Tw06,T04,IV03
42,00009309xx_Kazakistan_Pholt_P. humei_022A-WS4407XXXXXX-0115M0_18.Table.2.selections_4splits.txt,3562.5,4687.5,4687.5,3750,3562.5,4125,4500,3562.5,0.059,1993,1993,F3,D2,Tw06,T04,IV03
43,00009309xx_Kazakistan_Pholt_P. humei_022A-WS4407XXXXXX-0115M0_18.Table.5.selections_4splits.txt,3562.5,4500,4875,3562.5,3562.5,3937.5,4875,3562.5,0.0617,1993,1993,F3,D2,Tw06,T04,IV03
44,00009401xx_Bharatpur__Drijvers_P. humei_022A-W0001X0228XX-0101M0.Table.2.selections_4splits.txt,3875.977,4478.906,4478.906,4909.57,3962.109,4306.641,4909.57,4909.57,0.0405,1994,1994,F3,D2,Tw07,T05,IV04
45,000094xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor.Table.2.selections_4splits.txt,4392.773,4048.242,4565.039,4995.703,4306.641,4048.242,4565.039,4995.703,0.0489,1994,1994,F3,D2,Tw07,T05,IV04
46,000094xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor.Table.5.selections_4splits.txt,4220.508,3875.977,4565.039,4392.773,4306.641,3875.977,4478.906,4995.703,0.0472,1994,1994,F3,D2,Tw07,T05,IV04
47,000094xxxx_Phylloscopus humei_Trevor Price_PhumeiRbM_Manali 1994 Trevor.Table.2.selections_4splits.txt,3186.914,4134.375,4995.703,6115.43,4048.242,4134.375,4651.172,5684.766,0.0464,1994,1994,F3,D2,Tw07,T05,IV04
48,00009601xx_Bharatpur_Harrap_P. humei_022A-W0001X1735XX-0132M0_96+97_1.Table.2.selections_4splits.txt,3273.047,3962.109,4651.172,4306.641,3186.914,3789.844,4651.172,4737.305,0.0491,1996,1996,F4,D2,Tw08,T05,IV04
49,00009602xx_Nepal_Harrap_P. humei_022A-W0001X1726XX-0142M0_96+97_2.Table.2.selections_4splits.txt,3014.648,3789.844,4478.906,4478.906,4478.906,3789.844,4392.773,4737.305,0.0452,1996,1996,F4,D2,Tw08,T05,IV04
50,00009701xx_Ranathambore_Pholt_P. humei_022A-W0001X0197XX-0109M0_96+97_3.Table.2.selections_4splits.txt,3789.844,3703.711,4565.039,4909.57,3617.578,3617.578,4220.508,4909.57,0.0526,1997,1997,F4,D2,Tw08,T06,IV04
51,00009702xx_Bharatpur_Pholt_P. humei_022A-W0001X0197XX-0110M0_96+97_4.Table.2.selections_4splits.txt,3703.711,3789.844,4909.57,4909.57,3962.109,3703.711,4909.57,4909.57,0.0466,1997,1997,F4,D2,Tw08,T06,IV04
52,00009702xx_Bharatpur_Pholt_P. humei_022A-W0001X0197XX-0110M0_96+97_4.Table.5.selections_4splits.txt,4220.508,3962.109,4823.438,4220.508,3962.109,3962.109,4823.438,4995.703,0.0493,1997,1997,F4,D2,Tw08,T06,IV04
53,0000971000x_AN20bCue 01 Phylloscopus humei Dehradun Uttarakhand 1997 October.Table.2.selections_4splits.txt,3273.047,3445.312,4220.508,3962.109,3273.047,3445.312,4220.508,4392.773,0.0449,1997,1997,F4,D2,Tw08,T06,IV04
54,"00009801xx_Bharatpur_Pholt_Warbler, Hume's (Rajasthan)(CD24-29)_98+99_3.Table.2.selections_4splits.txt",3100.781,3875.977,4392.773,5943.164,3445.312,3875.977,4220.508,4909.57,0.0504,1998,1998,F4,D2,Tw09,T06,IV05
55,"00009801xx_Bharatpur_Pholt_Warbler, Hume's Leaf (Rajasthan)(CD26-13)_98+99_4.Table.2.selections_4splits.txt",5857.031,3789.844,4220.508,5857.031,5770.898,3703.711,4048.242,5512.5,0.0555,1998,1998,F4,D2,Tw09,T06,IV05
56,00009804xx_GHNP_ANCue 14 U Phylloscopus griseolis affinis GHNP Himachal 1998 April P-humei background_98+99_6.Table.2.selections_4splits.txt,2928.516,3531.445,4565.039,5598.633,3531.445,3531.445,4565.039,5512.5,0.059,1998,1998,F4,D2,Tw09,T06,IV05
57,00009804xx_GHNP_ANCue 16 Phylloscopus occipitalis GHNP Himachal 1998 April P-humei background_98+99_8.Table.2.selections_4splits.txt,5598.633,3445.312,4478.906,5598.633,5512.5,3617.578,4478.906,5512.5,0.0559,1998,1998,F4,D2,Tw09,T06,IV05
